source,target,date,user
1015531,1019216,2020-09-20T09:27:38.607Z,5629559
1015531,1019230,2020-09-20T09:41:19.913Z,4440682
1015531,1019250,2020-09-20T10:11:00.66Z,5629559
1015531,1020870,2020-09-21T13:32:32.573Z,3944866
1015531,1024216,2020-09-23T17:52:37.993Z,2416450
1015531,1033258,2020-09-30T19:17:51.833Z,3514793
182006,1015095,2020-09-17T23:48:07.897Z,2789265
1015095,1016186,2020-09-18T18:16:22.757Z,3944866
1015095,1016214,2020-09-18T18:33:29.157Z,2789265
1015095,1016598,2020-09-19T05:39:55.97Z,2590110
1015095,1016723,2020-09-19T07:44:28.527Z,2000147
1015095,1018610,2020-09-19T19:14:26.597Z,4832781
1015095,1019044,2020-09-20T06:46:36.05Z,2590110
1015095,1019345,2020-09-20T11:16:22.46Z,2789265
1015095,1019349,2020-09-20T11:19:04.333Z,2590110
1015095,1019352,2020-09-20T11:23:50.963Z,4010658
1015095,1019355,2020-09-20T11:26:46.053Z,2590110
1015095,1019364,2020-09-20T11:35:17.477Z,4010658
1015095,1019368,2020-09-20T11:37:38.503Z,2789265
1015095,1019376,2020-09-20T11:42:24.28Z,4010658
1015095,1019388,2020-09-20T11:56:36.277Z,2000147
1015095,1020074,2020-09-20T21:54:01.843Z,5767925
1015095,1020855,2020-09-21T13:24:57.707Z,3944866
1015095,1021298,2020-09-21T18:29:53.61Z,0
1015095,1033259,2020-09-30T19:18:00.223Z,3514793
182006,1013291,2020-09-16T16:03:54.683Z,5629559
1013291,1016173,2020-09-18T18:04:51.503Z,3944866
1013291,1016716,2020-09-19T07:34:46.51Z,5629559
1013291,1020891,2020-09-21T13:50:29.22Z,3944866
182006,1013088,2020-09-16T13:50:13.19Z,4440682
1013088,1016167,2020-09-18T18:02:36.62Z,3944866
1013088,1016204,2020-09-18T18:28:41.02Z,4010658
1013088,1016592,2020-09-19T05:31:29.15Z,4440682
1013088,1020850,2020-09-21T13:22:04.113Z,3944866
1013088,1020876,2020-09-21T13:35:14.717Z,4440682
1013088,1020915,2020-09-21T14:00:35.733Z,3944866
1013088,1024220,2020-09-23T17:53:30.293Z,2416450
1013088,1033260,2020-09-30T19:18:06.857Z,3514793
182006,1009979,2020-09-14T12:19:22.627Z,4670864
1009979,1010058,2020-09-14T13:31:17.37Z,4010658
1009979,1033262,2020-09-30T19:18:34.823Z,3514793
182006,1007407,2020-09-12T06:18:04.577Z,5762056
182006,1031670,2020-09-29T15:42:53.56Z,3177784
1031670,1032261,2020-09-30T04:57:33.803Z,3715582
1031670,1032373,2020-09-30T06:53:23.07Z,1900244
1031670,1032390,2020-09-30T07:09:04.963Z,3514793
1031670,1033093,2020-09-30T16:51:58.2Z,4065208
1031670,1033250,2020-09-30T19:16:53.64Z,3514793
1031670,1034262,2020-10-01T15:52:34.16Z,3514793
182006,1027105,2020-09-25T20:49:23.82Z,4292943
1027105,1027543,2020-09-26T08:22:59.293Z,3517106
1027105,1033255,2020-09-30T19:17:15.733Z,3514793
182006,1028791,2020-09-27T07:58:21.027Z,4019883
1028791,1028793,2020-09-27T08:02:13.56Z,2006644
1028791,1029190,2020-09-27T14:35:17.67Z,2623988
1028791,1029537,2020-09-27T20:27:54.42Z,2121254
1028791,1029563,2020-09-27T21:13:51.377Z,2246708
1028791,1030099,2020-09-28T12:24:32.297Z,1243482
1028791,1030208,2020-09-28T13:29:24.487Z,4019883
1028791,1030221,2020-09-28T13:37:26.637Z,2380476
1028791,1031724,2020-09-29T16:37:58.72Z,0
1028791,1033254,2020-09-30T19:17:04.407Z,3514793
1028791,1034264,2020-10-01T15:53:33.113Z,3514793
182006,1022618,2020-09-22T16:31:19.873Z,2027611
1022618,1022833,2020-09-22T18:50:34.32Z,1377638
1022618,1023408,2020-09-23T07:49:31.407Z,0
1022618,1023828,2020-09-23T13:33:26.703Z,2027611
1022618,1023981,2020-09-23T15:03:20.663Z,4670864
1022618,1024850,2020-09-24T07:04:40.013Z,367231
1022618,1025376,2020-09-24T14:12:15.84Z,3715582
1022618,1025913,2020-09-24T21:45:30.423Z,0
1022618,1026009,2020-09-25T01:24:13.283Z,2006644
1022618,1026093,2020-09-25T04:36:48.837Z,2027611
1022618,1029189,2020-09-27T14:31:34.577Z,2623988
1022618,1033256,2020-09-30T19:17:26.623Z,3514793
1022618,1034908,2020-10-02T09:32:43.15Z,0
182006,1007509,2020-09-12T08:16:22.613Z,2590110
1007509,1007529,2020-09-12T08:47:16.06Z,4010658
1007509,1007691,2020-09-12T11:46:55.377Z,2590110
1007509,1008047,2020-09-12T18:03:54.487Z,4010658
1007509,1008152,2020-09-12T19:27:48.497Z,5607244
1007509,1008162,2020-09-12T19:32:38.06Z,4010658
1007509,1008202,2020-09-12T20:20:14.303Z,2590110
1007509,1008204,2020-09-12T20:21:33.93Z,2590110
1007509,1008255,2020-09-12T22:40:17.78Z,5607244
1007509,1008474,2020-09-13T06:34:54.063Z,2887189
1007509,1008510,2020-09-13T07:08:48.847Z,2590110
1007509,1008729,2020-09-13T10:50:04.27Z,3608685
1007509,1009067,2020-09-13T16:18:22.957Z,5607244
1007509,1009197,2020-09-13T18:19:32.767Z,2590110
1007509,1009575,2020-09-14T05:33:28.433Z,2887189
1007509,1009582,2020-09-14T05:41:55.563Z,2590110
1007509,1012278,2020-09-16T02:27:38.957Z,4617662
1007509,1015426,2020-09-18T07:26:35.78Z,2000147
182006,1011558,2020-09-15T14:56:05.233Z,1539012
1011558,1011566,2020-09-15T15:04:41.1Z,4010658
1011558,1011583,2020-09-15T15:26:12.303Z,2590110
1011558,1011625,2020-09-15T15:46:37.777Z,4010658
1011558,1011646,2020-09-15T15:55:25.08Z,2590110
1011558,1011753,2020-09-15T17:05:06.707Z,3608685
1011558,1015425,2020-09-18T07:26:07.467Z,2000147
1011558,1018095,2020-09-19T12:52:13.037Z,5732451
182006,1009050,2020-09-13T16:05:47.04Z,4617662
1009050,1033263,2020-09-30T19:18:43.393Z,3514793
182006,1165989,2021-01-23T10:48:32.923Z,4536986
182006,1035756,2020-10-03T04:07:53.997Z,3993452
1035756,1036506,2020-10-03T20:45:34.977Z,4010658
182006,1033236,2020-09-30T18:56:57.253Z,4010658
1033236,1034252,2020-10-01T15:47:40.32Z,756494
1033236,1035553,2020-10-02T19:36:50.27Z,4010658
182006,1033230,2020-09-30T18:53:43.437Z,5843074
182006,1030686,2020-09-28T20:50:54.663Z,756494
182006,1029790,2020-09-28T06:15:52.43Z,2623988
182006,1026034,2020-09-25T02:51:44.893Z,5512854
182006,1025939,2020-09-24T22:33:03.403Z,5512854
182006,1025937,2020-09-24T22:31:22.497Z,5512854
182006,1024134,2020-09-23T17:10:13.52Z,2000147
1024134,1024166,2020-09-23T17:21:26.063Z,4010658
1024134,1024554,2020-09-24T01:18:18.28Z,2830398
1024134,1027114,2020-09-25T21:02:29.493Z,4292943
182006,1020862,2020-09-21T13:27:42.717Z,3944866
182006,1020320,2020-09-21T05:02:17.96Z,5762056
182006,1020298,2020-09-21T04:42:56.2Z,5813606
182006,1019464,2020-09-20T13:08:24.59Z,5410842
182006,1018882,2020-09-20T04:21:05.827Z,5017473
182006,1015521,2020-09-18T08:32:16.557Z,4670864
182006,1015499,2020-09-18T08:14:32.013Z,4670864
182006,1011916,2020-09-15T18:54:09.927Z,3549773
182006,1010415,2020-09-14T18:13:53.613Z,3169757
182006,1008230,2020-09-12T21:08:29.56Z,3608685
182006,1007618,2020-09-12T10:25:17.51Z,5607244
182006,1006563,2020-09-11T11:23:04.623Z,3421460
182006,1006270,2020-09-11T06:21:07.79Z,2154693
182006,1035521,2020-10-02T19:02:20.803Z,0
1035521,1035536,2020-10-02T19:15:52.593Z,4010658
1035521,1035542,2020-10-02T19:19:59.603Z,0
182006,1029204,2020-09-27T14:59:25.39Z,0
182006,1020086,2020-09-20T22:29:38.2Z,0
182006,1020068,2020-09-20T21:51:09.627Z,0
182006,1012803,2020-09-16T09:55:32.493Z,0
182966,1109777,2020-12-12T04:01:02.21Z,5022879
182966,1109482,2020-12-11T18:24:37.82Z,696000
182966,1051851,2020-10-17T02:30:08.12Z,5022879
192182,1056682,2020-10-22T01:19:27.66Z,3355848
192182,1057126,2020-10-22T11:46:14.843Z,521899
192182,1056056,2020-10-21T11:59:16.013Z,4910848
192182,1062638,2020-10-28T03:58:24.97Z,1929265
192182,1060175,2020-10-25T22:05:16.557Z,3652230
1060175,1060196,2020-10-25T23:06:33.6Z,317344
1060175,1060207,2020-10-25T23:43:32.19Z,3652230
1060175,1060235,2020-10-26T00:25:23.053Z,3355848
1060175,1060236,2020-10-26T00:35:22.07Z,3652230
1060175,1060237,2020-10-26T00:37:54.067Z,3355848
1060175,1060238,2020-10-26T00:42:03.783Z,3652230
1060175,1060239,2020-10-26T00:43:38.547Z,317344
1060175,1060244,2020-10-26T01:02:46.847Z,3652230
1060175,1060245,2020-10-26T01:04:41.163Z,3355848
1060175,1060262,2020-10-26T01:45:14.567Z,317344
1060175,1060266,2020-10-26T01:59:52.677Z,317344
1060175,1061267,2020-10-26T21:51:05.217Z,3355848
1060175,1061369,2020-10-27T00:53:30.337Z,3652230
1060175,1061431,2020-10-27T02:24:37.993Z,3355848
1060175,1061437,2020-10-27T02:30:42.737Z,3355848
1060175,1061525,2020-10-27T04:06:48.53Z,3355848
1060175,1062566,2020-10-28T01:33:40.21Z,3355848
192182,1057907,2020-10-23T06:21:10.147Z,317344
1057907,1064463,2020-10-30T06:59:01.957Z,317344
192182,1056980,2020-10-22T08:32:27.37Z,443651
1056980,1057565,2020-10-22T18:59:16.847Z,3355848
192182,1084112,2020-11-19T18:31:39.937Z,5793291
192182,1078636,2020-11-15T05:40:56.737Z,834077
189411,1041372,2020-10-07T17:49:20.15Z,1155353
1041372,1042145,2020-10-08T05:05:25.653Z,172860
189411,1041677,2020-10-07T21:44:34.757Z,59561
1041677,1041679,2020-10-07T21:46:59.867Z,3652230
1041677,1041682,2020-10-07T21:48:08.79Z,37166
1041677,1041683,2020-10-07T21:48:32.87Z,0
1041677,1041686,2020-10-07T21:49:45.903Z,3177784
1041677,1041687,2020-10-07T21:51:10.783Z,2675447
1041677,1041692,2020-10-07T21:54:59.677Z,2745910
1041677,1041699,2020-10-07T21:57:49.923Z,834077
1041677,1041706,2020-10-07T22:03:53.897Z,3652230
1041677,1041708,2020-10-07T22:05:24.703Z,0
1041677,1041732,2020-10-07T22:18:11.32Z,220927
1041677,1041735,2020-10-07T22:20:01.36Z,0
1041677,1041736,2020-10-07T22:20:16.787Z,3652230
1041677,1041738,2020-10-07T22:21:52.273Z,761268
1041677,1041740,2020-10-07T22:22:19.85Z,3652230
1041677,1041749,2020-10-07T22:35:56.567Z,3652230
1041677,1041755,2020-10-07T22:38:34.737Z,4287302
1041677,1042143,2020-10-08T05:03:43.673Z,172860
1041677,1049295,2020-10-14T09:58:16.73Z,5544712
189411,1041461,2020-10-07T18:47:17.82Z,2191934
1041461,1041505,2020-10-07T19:28:53.217Z,2675447
1041461,1041530,2020-10-07T19:43:48.69Z,37166
189411,1041200,2020-10-07T15:55:42.06Z,18102
189411,1041561,2020-10-07T20:10:34.623Z,4463217
189411,1041662,2020-10-07T21:32:31.42Z,75976
1041662,1041667,2020-10-07T21:36:32.24Z,761268
1041662,1041676,2020-10-07T21:44:02.147Z,2745910
1041662,1041689,2020-10-07T21:52:48.093Z,761268
189411,1041131,2020-10-07T15:19:26.09Z,59561
1041131,1041137,2020-10-07T15:22:23.947Z,471945
1041131,1041151,2020-10-07T15:26:44.803Z,2062359
1041131,1041154,2020-10-07T15:27:22.633Z,59561
1041131,1041177,2020-10-07T15:37:30.88Z,456596
1041131,1041181,2020-10-07T15:40:36.187Z,0
1041131,1041385,2020-10-07T17:59:05.097Z,4287302
1041131,1041428,2020-10-07T18:24:00.34Z,2745910
189411,1041241,2020-10-07T16:29:55.817Z,3177784
1041241,1041246,2020-10-07T16:33:18.667Z,1330628
1041241,1041292,2020-10-07T17:12:22.037Z,306452
1041241,1041319,2020-10-07T17:24:47.603Z,974295
1041241,1041336,2020-10-07T17:31:05.127Z,3177784
1041241,1041444,2020-10-07T18:36:58.033Z,530572
1041241,1041469,2020-10-07T18:54:21.087Z,974295
189411,1041626,2020-10-07T21:01:23.42Z,18463
189411,1041537,2020-10-07T19:49:51.883Z,5007869
189411,1041426,2020-10-07T18:22:17.823Z,2029256
189411,1041453,2020-10-07T18:43:53.25Z,644036
1041453,1041456,2020-10-07T18:45:44.453Z,1243482
1041453,1041458,2020-10-07T18:46:13.737Z,2029256
1041453,1041459,2020-10-07T18:46:56.077Z,644036
1041453,1041463,2020-10-07T18:48:07.01Z,2745910
1041453,1041558,2020-10-07T20:07:43.74Z,0
1041453,1041690,2020-10-07T21:53:07.48Z,2745910
1041453,1042144,2020-10-08T05:04:57.66Z,172860
189411,1042884,2020-10-08T14:31:59.677Z,4124090
189411,1041997,2020-10-08T02:23:41.427Z,4928806
189411,1041440,2020-10-07T18:33:54.207Z,2243857
189411,1041398,2020-10-07T18:08:15.473Z,3448839
189411,1041368,2020-10-07T17:48:34.51Z,4429721
189411,1041862,2020-10-08T00:17:57.147Z,1305588
189411,1041417,2020-10-07T18:18:15.88Z,644036
189411,1041279,2020-10-07T17:03:05.173Z,2497784
189411,1046065,2020-10-11T10:18:06.89Z,2703361
189411,1049303,2020-10-14T10:06:02.28Z,4461388
189411,1046142,2020-10-11T11:38:39.813Z,2897565
189411,1045640,2020-10-10T20:59:07.75Z,5928067
189411,1044875,2020-10-10T07:24:18.207Z,5854687
189411,1043253,2020-10-08T19:56:11.58Z,5893116
189411,1042886,2020-10-08T14:33:19.22Z,3538686
189411,1042600,2020-10-08T10:54:09.943Z,5323115
189411,1042405,2020-10-08T07:58:18.787Z,5912152
189411,1042398,2020-10-08T07:54:59.59Z,4248235
189411,1041936,2020-10-08T01:36:42.263Z,5798461
189411,1041698,2020-10-07T21:57:44.22Z,761268
189411,1041525,2020-10-07T19:41:56.237Z,2578660
189411,1041484,2020-10-07T19:08:39.04Z,5007869
1041484,1041501,2020-10-07T19:26:35.923Z,2675447
189411,1041430,2020-10-07T18:25:35.647Z,1243482
1041430,1041447,2020-10-07T18:41:23.047Z,4712534
189411,1041320,2020-10-07T17:25:14.233Z,986924
189411,1041297,2020-10-07T17:13:02.757Z,306452
189411,1042956,2020-10-08T15:18:19.313Z,0
189411,1041715,2020-10-07T22:08:57.233Z,0
189411,1041225,2020-10-07T16:15:50.973Z,0
189411,1041086,2020-10-07T14:49:05.573Z,0
1041086,1041186,2020-10-07T15:43:22.767Z,37166
188840,1038205,2020-10-05T16:31:13.57Z,644036
1038205,1038213,2020-10-05T16:43:25.72Z,656212
1038205,1038235,2020-10-05T16:58:49.647Z,59561
1038205,1038454,2020-10-05T19:42:54.273Z,1860617
1038205,1039157,2020-10-06T11:35:02.453Z,769452
1038205,1039389,2020-10-06T14:45:29.157Z,1440116
1038205,1039571,2020-10-06T16:39:58Z,1860617
188840,1038134,2020-10-05T15:19:10.27Z,1622856
1038134,1038143,2020-10-05T15:28:02.513Z,59561
1038134,1038190,2020-10-05T16:08:35.257Z,0
188840,1038268,2020-10-05T17:24:56.117Z,521899
1038268,1038273,2020-10-05T17:29:42.787Z,59561
1038268,1038407,2020-10-05T19:17:58.3Z,2745910
188840,1038113,2020-10-05T15:00:34.99Z,1614257
188840,1038175,2020-10-05T15:55:52.08Z,1440116
188840,1038171,2020-10-05T15:53:39.99Z,2781854
188840,1039786,2020-10-06T19:35:02.45Z,4940231
188840,1038573,2020-10-05T22:05:18.96Z,5325169
188840,1038201,2020-10-05T16:27:08.627Z,456596
1038201,1038226,2020-10-05T16:55:58.737Z,37166
1038201,1038252,2020-10-05T17:08:55.787Z,59561
1038201,1038253,2020-10-05T17:10:17.833Z,37166
1038201,1038365,2020-10-05T18:50:23.613Z,456596
188840,1039433,2020-10-06T15:19:50.31Z,2686172
188840,1039420,2020-10-06T15:09:08.823Z,5897331
188840,1039159,2020-10-06T11:36:32.19Z,769452
188840,1039156,2020-10-06T11:34:16.363Z,769452
1039156,1039529,2020-10-06T16:25:37.613Z,3616012
188840,1038184,2020-10-05T16:02:40.43Z,1860617
1038184,1038199,2020-10-05T16:22:33.197Z,59561
1038184,1038219,2020-10-05T16:47:27.373Z,1860617
183992,1016662,2020-09-19T06:26:04.6Z,113660
1016662,1016680,2020-09-19T06:52:30.11Z,214989
1016662,1016703,2020-09-19T07:12:20.327Z,0
1016662,1017875,2020-09-19T10:08:18.477Z,761268
1016662,1018732,2020-09-19T22:38:53.053Z,83633
1016662,1018807,2020-09-20T02:11:14.227Z,5264912
1016662,1023125,2020-09-23T01:19:11.26Z,5659204
183992,1016497,2020-09-19T03:07:43.817Z,5264912
1016497,1016553,2020-09-19T04:58:19.593Z,4928806
1016497,1016705,2020-09-19T07:13:21.07Z,5264912
1016497,1018572,2020-09-19T18:46:01.3Z,0
1016497,1018771,2020-09-20T00:53:23.43Z,3355848
1016497,1018809,2020-09-20T02:14:02.38Z,5264912
183992,1028692,2020-09-27T05:45:29.88Z,5399510
183992,1018081,2020-09-19T12:41:32.067Z,2191934
1018081,1023126,2020-09-23T01:19:19.697Z,5659204
1018081,1023196,2020-09-23T03:00:24.507Z,5264912
1018081,1023198,2020-09-23T03:02:00.937Z,5264912
1018081,1025133,2020-09-24T10:52:43.687Z,4287302
183992,1016692,2020-09-19T07:01:08.33Z,548996
1016692,1018525,2020-09-19T18:16:27.797Z,190923
1016692,1023129,2020-09-23T01:22:20.017Z,5659204
183992,1016350,2020-09-18T21:33:49.157Z,113660
1016350,1016352,2020-09-18T21:34:48.86Z,5659204
1016350,1018093,2020-09-19T12:51:30.433Z,2578660
183992,1018583,2020-09-19T18:54:27.637Z,942701
183992,1023557,2020-09-23T09:47:09.857Z,4576966
1023557,1023794,2020-09-23T13:10:55.443Z,5264912
183992,1016343,2020-09-18T21:15:26.547Z,1968272
183992,1039945,2020-10-06T23:16:47.217Z,3952061
183992,1036089,2020-10-03T12:16:01.797Z,5720483
183992,1032971,2020-09-30T15:09:42.753Z,5568746
183992,1028035,2020-09-26T14:41:19.033Z,4629590
183992,1025491,2020-09-24T15:27:34.46Z,4576966
183992,1016660,2020-09-19T06:25:03.47Z,2593251
181999,1006883,2020-09-11T15:59:49.403Z,644036
1006883,1006905,2020-09-11T16:22:11.01Z,59561
181999,1007817,2020-09-12T14:31:06.24Z,4338270
181999,1021358,2020-09-21T19:28:16.48Z,862519
1021358,1021413,2020-09-21T20:15:45.36Z,59561
181999,1006336,2020-09-11T07:27:40.227Z,5729704
181999,1006331,2020-09-11T07:25:15.817Z,3446727
181999,1006163,2020-09-11T04:52:07.117Z,114978
1006163,1006354,2020-09-11T07:47:15.77Z,5309
181999,1029751,2020-09-28T05:31:19.833Z,5399510
181999,1025125,2020-09-24T10:46:06.93Z,4287302
1025125,1025169,2020-09-24T11:37:28.887Z,761268
1025125,1025192,2020-09-24T11:56:05.377Z,4287302
181999,1016330,2020-09-18T20:45:36.183Z,83633
181999,1007249,2020-09-12T01:36:19.473Z,306452
181999,1030335,2020-09-28T15:15:20.667Z,4940231
181999,1030330,2020-09-28T15:13:50.307Z,4940231
181999,1028862,2020-09-27T09:08:28.337Z,3298475
181999,1013559,2020-09-16T19:06:14.047Z,4038609
181999,1007119,2020-09-11T20:26:23.767Z,3451735
1007119,1007132,2020-09-11T20:37:51.527Z,59561
181999,1040181,2020-10-07T02:47:23.43Z,0
181999,1035909,2020-10-03T08:19:02.487Z,0
181999,1030333,2020-09-28T15:14:34.62Z,0
181999,1030331,2020-09-28T15:14:25.593Z,0
182007,1045208,2020-10-10T12:39:57.837Z,5924744
182007,1042010,2020-10-08T02:40:07.98Z,4928806
182007,1033692,2020-10-01T07:34:38.453Z,3546073
182007,1011093,2020-09-15T08:39:53.723Z,5779494
182007,1010800,2020-09-15T04:18:50.307Z,5778273
182007,1010426,2020-09-14T18:27:18.167Z,382386
182007,1009989,2020-09-14T12:29:25.493Z,5258814
182007,1007597,2020-09-12T09:53:26.593Z,5630044
189709,1185466,2021-02-04T07:06:19.013Z,6557309
189709,1106262,2020-12-08T16:56:38.393Z,3944866
189709,1043555,2020-10-09T04:17:41.87Z,2490236
189709,1042760,2020-10-08T12:49:03.137Z,113660
189709,1046141,2020-10-11T11:37:04.71Z,172860
189709,1046010,2020-10-11T08:54:14.82Z,5873554
189709,1045513,2020-10-10T17:58:08.163Z,3684937
189709,1045005,2020-10-10T09:25:53.227Z,3394758
189709,1044211,2020-10-09T15:44:29.89Z,5659116
189709,1043968,2020-10-09T11:24:18.35Z,5168883
189709,1043922,2020-10-09T10:37:18.32Z,75976
189709,1043871,2020-10-09T09:51:40.73Z,1680848
189709,1043713,2020-10-09T07:27:09.673Z,2246613
189709,1043543,2020-10-09T04:08:44.757Z,3154376
189709,1042844,2020-10-08T14:02:35.09Z,1305588
1042844,1042960,2020-10-08T15:20:59.117Z,317344
1042844,1043486,2020-10-09T03:08:43.607Z,1305588
189709,1042824,2020-10-08T13:48:46.653Z,2497784
1042824,1042951,2020-10-08T15:17:12.133Z,317344
189709,1042766,2020-10-08T12:57:12.297Z,2745910
1042766,1185472,2021-02-04T07:07:39.117Z,6557309
189709,1529395,2021-09-30T11:01:32.547Z,3166408
189585,1043353,2020-10-08T22:34:00.207Z,4287302
1043353,1043381,2020-10-08T23:18:21.87Z,220927
189585,1043297,2020-10-08T21:17:08.047Z,4723999
1043297,1043380,2020-10-08T23:17:19.677Z,220927
189585,1043001,2020-10-08T15:54:57.693Z,3002383
1043001,1043037,2020-10-08T16:31:27.033Z,220927
189585,1042923,2020-10-08T14:57:21.97Z,1688884
1042923,1042954,2020-10-08T15:17:41.323Z,220927
189585,1042822,2020-10-08T13:48:08.56Z,3564216
1042822,1042851,2020-10-08T14:07:14.993Z,220927
189585,1042134,2020-10-08T04:53:20.8Z,4338270
1042134,1042449,2020-10-08T08:31:26.377Z,220927
189585,1041992,2020-10-08T02:19:37.87Z,2497784
1041992,1041996,2020-10-08T02:23:36.913Z,220927
189585,1041969,2020-10-08T02:01:16.097Z,1622856
1041969,1041976,2020-10-08T02:05:51.987Z,220927
189585,1497707,2021-08-31T11:32:57.533Z,6541719
183865,1015828,2020-09-18T13:14:42.217Z,113660
1015828,1015834,2020-09-18T13:19:16.963Z,3451735
1015828,1015839,2020-09-18T13:22:48.39Z,113660
1015828,1016430,2020-09-19T00:56:33.31Z,2745125
1015828,1016585,2020-09-19T05:26:16.323Z,347724
1015828,1016589,2020-09-19T05:28:14.85Z,113660
1015828,1020401,2020-09-21T06:21:42.357Z,347724
1015828,1022240,2020-09-22T12:01:21.597Z,113660
183865,1026916,2020-09-25T16:33:42.643Z,75976
183865,1016029,2020-09-18T15:56:18.423Z,4203334
1016029,1016219,2020-09-18T18:35:05.893Z,4010658
1016029,1016562,2020-09-19T05:04:54.84Z,347724
1016029,1016608,2020-09-19T05:52:48.59Z,4203334
1016029,1016701,2020-09-19T07:10:52.457Z,4010658
183865,1015677,2020-09-18T10:58:33.997Z,3451735
1015677,1015684,2020-09-18T11:02:07.26Z,75976
183865,1015745,2020-09-18T11:50:40.257Z,656212
1015745,1016057,2020-09-18T16:31:35.55Z,1440116
1015745,1016130,2020-09-18T17:24:22.69Z,656212
1015745,1016132,2020-09-18T17:27:37.18Z,75976
1015745,1016760,2020-09-19T08:08:21.89Z,2708740
183865,1485591,2021-08-22T08:45:32.383Z,5697631
183865,1026438,2020-09-25T10:21:33.88Z,2000147
183865,1020090,2020-09-20T22:45:22.367Z,1320281
183865,1016427,2020-09-19T00:53:22.987Z,2745125
1016427,1018105,2020-09-19T12:57:32.277Z,75976
183865,1015708,2020-09-18T11:25:08.463Z,3307250
1015708,1015775,2020-09-18T12:10:32.24Z,75976
189620,1042362,2020-10-08T07:30:51.947Z,1723677
1042362,1043293,2020-10-08T21:06:28.723Z,3652230
189620,1044039,2020-10-09T13:05:18.927Z,5629559
189620,1042871,2020-10-08T14:23:22.507Z,2745910
1042871,1042933,2020-10-08T15:02:58.393Z,443651
1042871,1043033,2020-10-08T16:30:39.08Z,2745910
1042871,1043286,2020-10-08T20:52:14.137Z,3652230
189620,1042325,2020-10-08T07:13:24.63Z,113660
1042325,1042821,2020-10-08T13:47:50.493Z,3270621
189620,1045010,2020-10-10T09:28:31.27Z,3394758
189620,1044133,2020-10-09T14:42:02.09Z,5801110
189620,1044096,2020-10-09T14:16:07.803Z,1305588
189620,1044088,2020-10-09T14:10:03.013Z,4340172
189620,1044077,2020-10-09T13:58:42.557Z,5898465
189620,1043996,2020-10-09T12:05:06.24Z,3296872
189620,1043980,2020-10-09T11:48:34.56Z,3494023
189620,1043854,2020-10-09T09:40:14.647Z,2012318
